"DataSet","Year","Pop_Name","CU_Name","SpnForAbd_Total","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1938,"Sandpoint Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45576,"L-06-14",NA
"Sk_Fraser",1938,"Shale Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45588,"L-06-14",NA
"Sk_Fraser",1938,"Sidney Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45558,"L-06-14",NA
"Sk_Fraser",1938,"Sinta Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45580,"L-06-14",NA
"Sk_Fraser",1938,"Van Decar Creek","Takla-Trembleur - Early Stuart",18,9,9,18,NA,NA,45569,"L-06-14",NA
"Sk_Fraser",1938,"Bear Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Big Silver Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46072,"L-03-03",NA
"Sk_Fraser",1938,"Birkenhead River","Lillooet-Harrison - Late",11100,7653,7653,11100,NA,NA,46098,"L-04-01",NA
"Sk_Fraser",1938,"Douglas Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46083,"L-03-03",NA
"Sk_Fraser",1938,"East Creek","Harrison (U/S) - Late",187,96,96,187,NA,NA,46055,"L-03-04",NA
"Sk_Fraser",1938,"Green River","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46107,"L-04-01",NA
"Sk_Fraser",1938,"Harrison River","Harrison River - Late",7500,3726,3726,7500,NA,NA,46030,"R-03",NA
"Sk_Fraser",1938,"Hatchery Creek","Harrison (D/S) - Late",2520,1181,1181,2520,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Lillooet Slough","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46025,"L-04-01",NA
"Sk_Fraser",1938,"Miller Creek","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46117,"L-04-01",NA
"Sk_Fraser",1938,"Pemberton Creek","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46112,"L-04-01",NA
