"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Value","Status"
"41","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForAbd_Wild",2015,"AbsLBM",460.9248,1000,10000,0.4609248,"Red"
"42","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForAbd_Wild",2016,"AbsLBM",388.6803,1000,10000,0.3886803,"Red"
"43","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForAbd_Wild",2017,"AbsLBM",334.1259,1000,10000,0.3341259,"Red"
"44","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForAbd_Wild",2018,"AbsLBM",282.6908,1000,10000,0.2826908,"Red"
"45","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2015,"LongTrend",1.42,0.5,0.75,1.42,"Green"
"46","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2016,"LongTrend",1.21,0.5,0.75,1.21,"Green"
"47","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2017,"LongTrend",1.05,0.5,0.75,1.05,"Green"
"48","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2018,"LongTrend",0.9,0.5,0.75,0.9,"Green"
"49","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2015,"PercChange",50.4259,-25,-15,50.4259,"Green"
"50","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2016,"PercChange",13.3973,-25,-15,13.3973,"Green"
"51","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2017,"PercChange",-15.3867,-25,-15,-15.3867,"Amber"
"52","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2018,"PercChange",-39.2024,-25,-15,-39.2024,"Red"
"53","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2015,"ProbDeclBelowLBM",0,NA,NA,0,NA
"54","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,0,NA
"55","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2017,"ProbDeclBelowLBM",0,NA,NA,0,NA
"56","CK-04","Chinook","Lower Fraser River_SP_1.3","SpnForTrend_Wild",2018,"ProbDeclBelowLBM",0,NA,NA,0,NA
"57","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2016,"RelUBM",NA,120.973886561944,157.814856660363,NA,NA
"58","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2017,"RelUBM",NA,104.220619834342,153.453583617862,NA,NA
"59","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2018,"RelUBM",NA,93.2090907178143,147.827378121599,NA,NA
"60","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2016,"AbsUBM",NA,1000,10000,NA,NA
"61","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2017,"AbsUBM",NA,1000,10000,NA,NA
"62","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2018,"AbsUBM",NA,1000,10000,NA,NA
"63","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2016,"RelLBM",NA,120.973886561944,157.814856660363,NA,NA
"64","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2017,"RelLBM",NA,104.220619834342,153.453583617862,NA,NA
"65","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2018,"RelLBM",NA,93.2090907178143,147.827378121599,NA,NA
"66","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2016,"AbsLBM",NA,1000,10000,NA,NA
"67","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2017,"AbsLBM",NA,1000,10000,NA,NA
"68","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForAbd_Wild",2018,"AbsLBM",NA,1000,10000,NA,NA
"69","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2016,"LongTrend",NA,0.5,0.75,NA,NA
"70","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2017,"LongTrend",NA,0.5,0.75,NA,NA
"71","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2018,"LongTrend",NA,0.5,0.75,NA,NA
"72","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2016,"PercChange",-60.4097,-25,-15,-60.4097,"Red"
"73","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2017,"PercChange",-61.8834,-25,-15,-61.8834,"Red"
"74","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2018,"PercChange",-61.9941,-25,-15,-61.9941,"Red"
"75","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2016,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
"76","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2017,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
"77","CK-05","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","SpnForTrend_Wild",2018,"ProbDeclBelowLBM",0.0333,NA,NA,0.0333,NA
"78","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2015,"RelUBM",63.1011,14.8717585031454,49.9744630130321,1.26266689416042,"Green"
"79","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2016,"RelUBM",73.9319,15.0078970489784,52.3556853819031,1.41210834049276,"Green"
"80","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2017,"RelUBM",87.6367,15.1440355948114,53.7092548929832,1.63168713054422,"Green"
"81","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2018,"RelUBM",93.5681,15.2801741406443,56.2402080813646,1.66372250729641,"Green"
"82","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2015,"AbsUBM",63.1011,1000,10000,0.00631011,"Red"
"83","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2016,"AbsUBM",73.9319,1000,10000,0.00739319,"Red"
"84","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2017,"AbsUBM",87.6367,1000,10000,0.00876367,"Red"
"85","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2018,"AbsUBM",93.5681,1000,10000,0.00935681,"Red"
"86","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2015,"RelLBM",63.1011,14.8717585031454,49.9744630130321,4.24301537620141,"Green"
"87","CK-06","Chinook","Lower Fraser River_SU_1.3","SpnForAbd_Wild",2016,"RelLBM",73.9319,15.0078970489784,52.3556853819031,4.92619983724053,"Green"
