Base.Unit.CU.ID,Base.Unit.Species,Base.Unit.CU.ShortName,Base.Unit.CU.FullName,Base.Unit.CU.Lat,Base.Unit.CU.Long,BaseUnit.FAZ,BaseUnit.MAZ,BaseUnit.JAZ,BaseUnit.Drainage,BaseUnit.WatershedGroup,BaseUnit.Watershed,BaseUnit. ManagementTiming,BaseUnit.AvgAge,BaseUnit.LifeHistory,ShortTerm.Trend,LongTerm.Ratio,LT.25p.Quantile,LT.75p.Quantile,Recent.Quantile,Recent.log.quantile,Recent.EFS,Hist.Geom.EFS,Lower.Bench,Smsy,Upper.Bench,Recent.Total,Recent.Geom.Total,Recent.start,Recent.end,Actual.last.year,Benchmark.type,Lower.Ratio,Upper.Ratio,Recent.ER,DataQualIdx,Comments,
SEL-L-06-14,SK,Takla_Trem_Estu,Takla_Trembleur_Estu,,,MFR,GStr,MFR+GStr,Fraser,Early Stuart,Fraser_Mid,Estu,4,Lake,-0.46,0.42,,,0.5,0.393939394,7450,17712,97682,,376174,75310,75310,,,,Larkin_2013,0.77097111,0.200199907,0.064483193,,,
SEL-L-06-10,SK,Quesnel_S,Quesnel_S,,,MFR,GStr,MFR+GStr,Fraser,Quesnel,Fraser_Mid,Summer,4,Lake,-0.96,1.86,,,0.787878788,0.5,13827,7423,180491,,1337891,172695,172695,,,,Larkin_2013,0.956806711,0.129080022,0.341083747,,,
SEL-L-06-13,SK,Takla_Trem_S_S,Takla_Trembleur_Stuart_S,,,MFR,GStr,MFR+GStr,Fraser,Late Stuart,Fraser_Mid,Summer,4,Lake,-0.63,1.12,,,0.636363636,0.575757576,16157,14368,112600,,622626,130493,130493,,,,Larkin_2013,1.158907638,0.209584887,0.373795504,,,
SEL-L-09-03,SK,Shuswap_L,Shuswap_L,,,STh,GStr,STh+GStr,Fraser,Late South Thompson,Fraser_Thompson,Late,4,Lake,-0.81,0.54,,,0.696969697,0.454545455,13231,24679,310783,,1794869,2112414,2112414,,,,Larkin_2014,6.797070625,1.176918204,0.350432815,,,
SEL-L-06-03,SK,Chilko_S_ES,Chilko_S_ES,51.326,-124.0958,MFR,GStr,MFR+GStr,Fraser,Chilcotin,Fraser_Mid,Summer,4,Lake,1.73,2.46,,,0.863636364,0.772727273,351211,142850,72471.19703,,379320.9132,755502,599900,,,,Sgen_Smsy,8.277771371,1.581510481,0.363062933,,,
SEL-L-06-07,SK,Fran_Fras_S,Francois_Fraser_S,54.0743,-124.7671,MFR,GStr,MFR+GStr,Fraser,Nechako,Fraser_Mid,Summer,4,Lake,-0.21,1.36,,,0.863636364,0.787878788,55984,41094,24255.73795,,122611.8536,182228,135100,,,,Sgen_Smsy,5.56981611,1.101851053,0.373970436,,,
SER-R03,SK,Harrison_RT,Harrison_RT,,,LFR,GStr,LFR+GStr,Fraser,Harrison-Lillooet,Fraser_Lower,Summer,3,River,20.07,19.24,,,0.909090909,0.893939394,119446,6209,38927.65718,,122164.9808,202748,165300,,,,Sgen_Smsy,4.246338259,1.353088249,0.189782764,,,
SEL-L-03-02,SK,Cultus_L,Cultus_L,49.0615,-121.9833,LFR,GStr,LFR+GStr,Fraser,Lower Fraser,Fraser_Lower,Late,4,Lake,0.03,0.14,,,0.272727273,0.151515152,460,3231,14634.1485,,30642.362,1098,438,,,,Sgen_Smsy,0.029929996,0.014293937,0.330122166,,,
SEL-L-06-11,SK,Seton-L,Seton_L_(de_novo),50.6854,-122.1019,MFR,GStr,MFR+GStr,Fraser,Seton-Anderson,Fraser_Mid,Late,4,Lake,-0.91,0.31,,,0.607843137,0.117647059,565,1813,2192.530547,,13452.62567,7149,599,,,,Sgen_Smsy,0.273200299,0.044526624,0.341610172,,,
SEL-L-03-04,SK,Harrison_US_L,Harrison_(U/S)_L,49.5554,-121.8629,LFR,GStr,LFR+GStr,Fraser,Harrison-Lillooet,Fraser_Lower,Late,4,Lake,-0.82,0.45,,,0.227272727,0.121212121,5745,12736,10730.6527,,84596.663,13329,5400,,,,Sgen_Smsy,0.503231271,0.063832305,0.340863507,,,
SEL-L-04-01,SK,Lillooet_Harr_L,Lillooet_Harrison_L,50.2617,-122.5322,LILL,GStr,LILL+GStr,Fraser,Harrison-Lillooet,Fraser_Lower,Late,4,Lake,-0.72,0.81,,,0.454545455,0.272727273,22757,27948,14177.70248,,76930.38899,40151,28800,,,,Sgen_Smsy,2.031358751,0.374364414,0.272988923,,,
SEL-L-03-03,SK,Harrison_DS_L,Harrison_(D/S)_L,49.5664,-121.8693,LFR,GStr,LFR+GStr,Fraser,Harrison-Lillooet,Fraser_Lower,Late,4,Lake,-0.75,4.45,,,0.772727273,0.742424242,2551,573,,,,4699,4200,,,,Sgen_Smsy,,,,,,
SER-R02,SK,Widgeon_RT,Widgeon_(River_Type),49.3666,-122.6376,LFR,GStr,LFR+GStr,Fraser,Lower Fraser,Fraser_Lower,Late,4,River,11.58,1.78,,,0.587301587,0.444444444,360,203,,,,645,435,,,,Sgen_Smsy,,,,,,
SER-R06,SK,UFR_RT_(Validation _required),Upper_Fraser_River_(River_Type)_(Validation _required),,,UFR,GStr,UFR+GStr,Fraser,Upper Fraser,Fraser_Upper,Summer,4,River,,,,,,,,,,,,,,,,,,,,,,Validation required,
SER-R05,SK,MFR_RT_(Validation _required),Middle_Fraser_River_(River_Type)_(Validation _required),,,MFR,GStr,MFR+GStr,Fraser,Mid Fraser,Fraser_Mid,Summer,4,River,,,,,,,,,,,,,,,,,,,,,,Validation required,
SEL-L-06-18,SK,Cariboo_S_(Validation_required),Cariboo_S_(Validation_required),,,MFR,GStr,MFR+GStr,Fraser,Quesnel,Fraser_Mid,Summer,4,Lake,,,,,,,,,,,,,,,,,,,,,,Validation required,
SEL_xx,SK,LFR_RT_(Unconfirmed),LFR_RT_(Unconfirmed),49.2869,-121.8992,LFR,GStr,LFR+GStr,Fraser,Lower Fraser,Fraser_Lower,Late,4,River,,,,,,,,,,,,,,,,,,,,,,Unsure what the deal is with this one, Chehalis and Gallagher are Summer timing
SEL_xx,SK,Indian_Kruger_ES_(Validation_required),Indian_Kruger_ES_(Validation_required),,,UFR,GStr,UFR+GStr,Fraser,Upper Fraser,Fraser_Upper,Early_Summer,4,Lake,,,,,,,,,,,,,,,,,,,,,,Validation required. Not consistently surveyed,
CO_05,CO,Fraser Canyon,,,,FRCany,GStr,FRCany+GStr,Fraser,,Fraser_Canyon,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_06,CO,Middle Fraser,,,,MFR,GStr,MFR+GStr,Fraser,,Fraser_Mid,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_07,CO,Lower Thompson,,,,LTh,GStr,LTHOM+GStr,Fraser,,Fraser_Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_09,CO,North Thompson,,,,NTh,GStr,NTHOM+GStr,Fraser,,Fraser_Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_08,CO,South Thompson,,,,STh,GStr,STHOM+GStr,Fraser,,Fraser_Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
CK_01,CK,OK,Okanagan_1.x,49.0764,-119.5182,,,,,,,Summer,4.49,Ocean,,,,,,,,,890,,3258,,,,,,unsure,,,,Rel_Idx,,
CK_02,CK,BB,Boundary Bay_FA_0.3,49.0509,-122.8337,,,,,,,Fall,3.77,Ocean,-0.41,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK_03,CK,LFR-fall,Lower Fraser River_FA_0.3,49.2189,-121.9451,,,,Fraser,,Fraser_Lower,Fall,3.8,Ocean,-0.39,,,,,,,,42918,,71412,,,,,,unsure,,,,Abs_Abd,,
CK_04,CK,LFR-spring,Lower Fraser River_SP_1.3,49.4608,-122.4925,,,,Fraser,,Fraser_Lower,Spring,4.52,Stream,-0.57,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK_05,CK,LFR-UPITT,Lower Fraser River-Upper Pitt_SU_1.3,49.5663,-122.6343,,,,Fraser,,Fraser_Lower,Summer,4.52,Stream,-0.73,,,,,,,,588,,1118,,,,,,unsure,,,,Rel_Idx,,
CK_06,CK,LFR-summer,Lower Fraser River_SU_1.3,49.7202,-122.1578,,,,Fraser,,Fraser_Lower,Summer,4.52,Stream,-0.12,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK_07,CK,Maria,Maria Slough_SU_0.3,49.2279,-121.7333,,,,Fraser,,Fraser_Lower,Summer,3.83,Ocean,-0.71,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK_08,CK,FRCanyon,Middle Fraser-Fraser Canyon_SP_1.3,49.9779,-121.512,,,,Fraser,,Fraser_Upper,Spring,4.52,Stream,,,,,,,,,528,,1001,,,,,,unsure,,,,Rel_Idx,,
CK_09,CK,Portage,Middle Fraser River-Portage_FA_1.3,50.708,-122.2701,,,,Fraser,,Fraser_Upper,Fall,4.52,Stream,-0.84,,,,,,,,783,,1523,,,,,,unsure,,,,Rel_Idx,,
CK_10,CK,MFR-spring,Middle Fraser River_SP_1.3,52.7255,-122.6182,,,,Fraser,,Fraser_Upper,Spring,4.52,Stream,-0.2,,,,,,,,11831,,25048,,,,,,unsure,,,,Rel_Idx,,
CK_11,CK,MFR-summer,Middle Fraser River_SU_1.3,52.9407,-123.4585,,,,Fraser,,Fraser_Upper,Summer,4.52,Stream,-0.61,,,,,,,,12855,,28513,,,,,,unsure,,,,Rel_Idx,,
CK_12,CK,UFR-spring,Upper Fraser River_SP_1.3,53.6795,-120.9022,,,,Fraser,,Fraser_Upper,Spring,4.52,Stream,-0.55,,,,,,,,13620,,28994,,,,,,unsure,,,,Rel_Idx,,
CK_13,CK,STh-0.3,South Thompson_SU_0.3,50.9425,-119.4355,,,,Fraser,,Fraser_Thompson,Summer,3.83,Ocean,-0.18,,,,,,,,55789,,99820,,,,,,unsure,,,,Rel_Idx,,
CK_14,CK,STh-1.3,South Thompson_SU_1.3,50.8752,-119.2515,,,,Fraser,,Fraser_Thompson,Summer,4.52,Stream,-0.27,,,,,,,,933,,1836,,,,,,unsure,,,,Rel_Idx,,
CK_15,CK,STh-SHUR,Shuswap River_SU_0.3,50.5763,-118.8984,,,,Fraser,,Fraser_Thompson,Summer,3.83,Ocean,-0.53,,,,,,,,,,,,,,,,unsure,,,,Abs_Abd,,
CK_16,CK,STh-BESS,South Thompson-Bessette Creek_SU_1.2,50.2516,-118.9355,,,,Fraser,,Fraser_Thompson,Summer,4.06,Stream,-0.51,,,,,,,,509,,961,,,,,,unsure,,,,Rel_Idx,,
CK_17,CK,LTh,Lower Thompson_SP_1.2,50.3365,-120.9842,,,,Fraser,,Fraser_Thompson,Spring,4.06,Stream,0.68,,,,,,,,2625,,5560,,,,,,unsure,,,,Rel_Idx,,
CK_18,CK,NTh-spr,North Thompson_SP_1.3,51.8376,-119.6157,,,,Fraser,,Fraser_Thompson,Spring,4.52,Stream,-0.74,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK_19,CK,NTh-sum,North Thompson_SU_1.3,51.4384,-120.1,,,,Fraser,,Fraser_Thompson,Summer,4.52,Stream,-0.72,,,,,,,,4028,,8799,,,,,,unsure,,,,Rel_Idx,,
CK-20,CK,SMn-GStr,Southern Mainland-Georgia Strait_FA_0.x,49.82,-123.6849,,,,,,,Fall,3.6,Ocean,,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-21,CK,Goldstr,East Vancouver Island-Goldstream_FA_0.x,48.5218,-123.5054,,,,,,,Fall,3.28,Ocean,,,,,,,,,,,,,,,,,unsure,,,,Abs_Abd,,
CK-22,CK,CWCH-KOK,East Vancouver Island-Cowichan & Koksilah_FA_0.x,48.7896,-123.9518,,,,,,,Fall,3.28,Ocean,0.61,,,,,,,,,,,,,,,,unsure,,,,Abs_Abd,,
CK-23,CK,NanR-spr,East Vancouver Island-Nanaimo_SP_1.x,49.0897,-124.2295,,,,,,,Spring,3.51,Stream,,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-25,CK,EVI-fall,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,49.0468,-123.8255,,,,,,,Fall,3.22,Ocean,0.02,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-27,CK,QP-fall,East Vancouver Island-Qualicum & Puntledge_FA_0.x,49.6828,-124.8909,,,,,,,Fall,3.6,Ocean,-0.27,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-28,CK,SMn-SFj,Southern Mainland-Southern Fjords_FA_0.x,50.7719,-125.776,,,,,,,Fall,3.6,Ocean,,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-29,CK,NEVI,East Vancouver Island-North_FA_0.x,50.4727,-126.6023,,,,,,,Fall,4.41,Ocean,-0.5,,,,,,,,378,,1621,,,,,,unsure,,,,Rel_Idx,,
CK-31,CK,SWVI,West Vancouver Island-South_FA_0.x,49.0252,-125.2102,,,,,,,Fall,4,Ocean,-0.06,,,,,,,,389,,1860,,,,,,unsure,,,,Rel_Idx,,
CK-32,CK,NoKy,West Vancouver Island-Nootka & Kyuquot_FA_0.x,49.911,-126.85,,,,,,,Fall,4,Ocean,1.73,,,,,,,,419,,2124,,,,,,unsure,,,,Rel_Idx,,
CK-33,CK,NWVI,West Vancouver Island-North_FA_0.x,50.4799,-127.7384,,,,,,,Fall,4,Ocean,-0.06,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-34,CK,HOMATH,Homathko_SU_x.x,50.9322,-124.8592,,,,,,,Summer,4.5,Stream,,,,,,,,,899,,1763,,,,,,unsure,,,,Rel_Idx,,
CK-35,CK,KLINA,Klinaklini_SU_1.3,51.1258,-125.6105,,,,,,,Summer,4.5,Stream,,,,,,,,,3368,,7263,,,,,,unsure,,,,Rel_Idx,,
CK-82,CK,UADAMS,Upper Adams River_SU_x.x,51.411,-119.456,,,,,,,Summer,4.52,Ocean,-0.12,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-83,CK,EVIGStr-sum,East Vancouver Island-Georgia Strait_SU_0.3,49.0443,-123.9116,,,,,,,Summer,3.51,Ocean,-0.64,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-9005,CK,sBC-misc,Southern BC-miscellaneous,,,,,,,,,Fall,4,,,,,,,,,,,,,,,,,,unsure,,,,TBD,,
CK-9006,CK,FR-XCU,Fraser-Cross-CU Supplementation Exclusion,49.1257,-122.0982,,,,,,,Summer,3.48,,,,,,,,,,,,,,,,,,unsure,,,,TBD,,
CK-9007,CK,sBC-XCU,Southern BC-Cross-CU Supplementation Exclusion,,,,,,,,,Fall,4,,,,,,,,,,,,,,,,,,unsure,,,,TBD,,
CK-9008,CK,Chil_transp_FA,Fraser-Harrison fall transplant_FA_0.3,49.1257,-122.0982,,,,,,,Fall,3.48,Ocean,-0.23,,,,,,,,,,,,,,,,unsure,,,,Rel_Idx,,
CK-39,CK,BCR-BENT,Bella Coola-Bentinck,52.3071384,-126.5192197,,,,North Coast,Central Coast,,,5,,,,14569,25000,,,,,5033.14,15188,12150.4,14773,,2010,2014,,Sgen_Smsy,2.935145853,1.215844746,,,arith not geom total compared to BMS,
CK-40,CK,DEAN,Dean River,52.76621241,-126.4529395,,,,North Coast,Central Coast,,,5,,,,1300,3290,,,,,350.42,1083,866.4,2081,,2010,2014,,Sgen_Smsy,5.93858798,2.40189289,,,arith not geom total compared to BMS,
CK-46,CK,ECST,Ecstall,53.93875727,-129.6541812,,,,North Coast,Skeena,,,,,,,1311,3932,,,,,948,3728,2982.4,,,,,,Sgen_Smsy,,,,,,
CK-49,CK,KALUM-E,Kalum-early timing,54.85684032,-128.8395476,,,,North Coast,Skeena,,,5.378575921,,0.5,,857,1850,0.1153846,,,,181,609,487.2,506,505.4977746,2009,2014,2011,Sgen_Smsy,2.79558011,1.038587849,,,arith not geom total compared to BMS,
CK-50,CK,KALUM-L,Kalum-late timing,54.63827418,-128.7132299,,,,North Coast,Skeena,,,5.38210036,,0.36,0.989543243,10703,21087,0.3571429,,,,1484,8544,6835.2,12139,12018.66626,2009,2014,2012,Sgen_Smsy,8.179919137,1.775953886,,,arith not geom total compared to BMS,
CK-48,CK,LSK,Lower Skeena-CK,54.52130369,-128.7155915,,,,North Coast,Skeena,,,4.570512821,,-0.65,0.988335271,1084,1884,0.1428571,,,,301,1295,1036,654,600.4939,2009,2014,2013,Sgen_Smsy,2.172757475,0.631274131,,,arith not geom total compared to BMS,
CK-53,CK,MSK-LGLKS,Middle Skeena-large lakes,55.06769744,-126.6988702,,,,North Coast,Skeena,,,4.734929933,,-0.29,0.904754233,24526,38315,0.266,,,,3823,20343,16274.4,26146,25614.5357,2009,2014,2014,Sgen_Smsy,6.839131572,1.606572285,,,arith not geom total compared to BMS,
CK-54,CK,MSK-M/S,Middle Skeena-mainstem tributaries,55.46005624,-127.8641809,,,,North Coast,Skeena,,,5.103069527,,-0.57,1.042355,7401,13475,0.2,,,,865,6603,5282.4,5753,5699.9574,2009,2014,2014,Sgen_Smsy,6.650867052,1.089088293,,,arith not geom total compared to BMS,
CK-42,CK,NCC-stream,North & Central Coast-early timing,53.44994034,-128.4254321,,,,North Coast,Central Coast,,,5,,,,602,957,,,,,161.11,428,342.4,444,,2010,2014,,Sgen_Smsy,2.755881075,1.296728972,,,arith not geom total compared to BMS,
CK-41,CK,NCC-lake,North & Central Coast-late timing,53.05612492,-128.5756904,,,,North Coast,Central Coast,,,5,,,,1030,2574,,,,,328.95,1154,923.2,1201,,2010,2014,,Sgen_Smsy,3.651010792,1.300909879,,,arith not geom total compared to BMS,
CK-57,CK,LNR-P,Portland Sound-Observatory Inlet-Lower Nass,55.01352226,-129.8255968,,,,North Coast,Nass,,,5,,,,1108,2425,,,,,356.48,1168,934.4,1439,,2010,2014,,Sgen_Smsy,4.036692101,1.540025685,,,arith not geom total compared to BMS,
CK-37,CK,RI,Rivers Inlet,51.71445039,-126.9570952,,,,North Coast,Central Coast,,,5,,,,800,2394,,,,,464.43,1118,894.4,1179,,2010,2014,,Sgen_Smsy,2.538595698,1.318202147,,,arith not geom total compared to BMS,
CK-55,CK,MSK-UprBulk,Upper Bulkley River,54.42161207,-126.4590096,,,,North Coast,Skeena,,,4.956338728,,,,665,1626,,,,,321,864,691.2,,,,,2006,Sgen_Smsy,,,,,,
CK-58,CK,UNR,Upper Nass,55.93432425,-129.0877853,,,,North Coast,Nass,,,5,,,,13352,23594,,,,,2465.92,10712,8569.6,11261,,2010,2014,,Sgen_Smsy,4.566652608,1.314063667,,,arith not geom total compared to BMS,
CK-38,CK,WANN,Wannock,51.67892496,-127.2521096,RSI,HStr,RSI+HStr,North Coast,Central Coast,,,5,,,,5827,8594,,,,,817.71,3830,3064,6097,,2010,2014,,Sgen_Smsy,7.456188624,1.989882507,,,arith not geom total compared to BMS,
SEL-L-20-01,SK,Alastair,Alastair,54.11510313,-129.1911298,,,,North Coast,Skeena,,,5.345,Lake,1.29,0.998419931,7172,23054,0.8333333,,,,5714,13356,10684.8,24706,,2009,2014,,,4.323766188,2.312256664,,,arith not geom total compared to BMS,
SEL-L-22-01,SK,Asitika,Asitika,56.39412073,-126.7884946,,,,North Coast,Skeena,,,5,Lake,,,182,740,0.9259259,,,,,,,1704,,2010,2014,,,,,,,,
SEL-L-22-02,SK,Azuklotz,Azuklotz,56.09155332,-126.7456458,,,,North Coast,Skeena,,,5,Lake,-0.47,1.670129142,1178,5000,0.7317073,,,,919,3385,2708,4831,,2010,2014,,,5.256800871,1.783973412,,,arith not geom total compared to BMS,
SEL-L-21-02,SK,Babine,Babine Complex,54.88307568,-126.0483318,,,,North Coast,Skeena,,,4.588061008,Lake,-0.71,0.966040015,27816,66515,0.3818182,,,,24099,48416,38732.8,35028,,2010,2014,,,1.453504295,0.904349802,,,arith not geom total compared to BMS,
SEL-L-18-01,SK,Backland,Backland<<VREQ[Bin]>>,53.64847761,-129.3033258,,,,North Coast,North Coast,,,5,Lake,,,41,175,,,,,248.62,513,410.4,55,,2010,2014,,,0.221221141,0.134015595,,,arith not geom total compared to BMS,
SEL-L-22-03,SK,Bear,Bear,56.19968217,-126.8885457,,,,North Coast,Skeena,,,4.586956522,Lake,,,790,2900,0.7948718,,,,6469,12253,9802.4,3736,,2010,2014,,,0.577523574,0.381131152,,,arith not geom total compared to BMS,
SEL-L-19-02,SK,Bloomfield,Bloomfield,52.85660524,-128.6816781,,,,North Coast,North Coast,,,5,Lake,,,395,1425,,,,,541.98,1248,998.4,780,,2010,2014,,,1.439167497,0.78125,,,arith not geom total compared to BMS,
SEL-L-18-02,SK,Canoona,Canoona,53.07370077,-128.569743,,,,North Coast,North Coast,,,5,Lake,,,1400,5150,,,,,543.85,2439,1951.2,5362,,2010,2014,,,9.859336214,2.748052481,,,arith not geom total compared to BMS,
SEL-L-19-11,SK,Curtis Inlet,Curtis Inlet,53.50088446,-129.8621889,,,,North Coast,North Coast,,,5,Lake,,,3050,15000,,,,,4259.5,8798,7038.4,2150,,2010,2014,,,0.504754079,0.305467152,,,arith not geom total compared to BMS,
SEL-L-24-02,SK,Damdochax/Wiminasik,Damdochax/Wiminasik,56.53156589,-128.3159485,,,,North Coast,Nass,,,5,Lake,,,1985,5500,,,,,815.24,4737,3789.6,3597,,2010,2014,,,4.412197635,0.949176694,,,arith not geom total compared to BMS,
SEL-L-22-04,SK,Damshilgwit,Damshilgwit,56.39714816,-127.9229215,,,,North Coast,Skeena,,,4.253731343,Lake,-0.05,,255,714,0.6666667,,,,272,450,360,572,,2010,2014,,,2.102941176,1.588888889,,,arith not geom total compared to BMS,
SEL-L-19-14,SK,Devon,Devon,53.45326067,-129.7717555,,,,North Coast,North Coast,,,5,Lake,,,3000,8000,,,,,1790.68,4283,3426.4,7300,,2010,2014,,,4.076663614,2.130515993,,,arith not geom total compared to BMS,
SEL-L-18-04,SK,Evelyn,Evelyn,53.58475422,-128.9541169,,,,North Coast,North Coast,,,5,Lake,,,578,2300,,,,,689.82,1793,1434.4,2074,,2010,2014,,,3.006581427,1.445900725,,,arith not geom total compared to BMS,
SEL-L-24-03,SK,Fred Wright,Fred Wright,56.07228136,-128.7727112,,,,North Coast,Nass,,,5,Lake,,,2550,8625,,,,,2642.86,13416,10732.8,2969,,2010,2014,,,1.123404191,0.276628652,,,arith not geom total compared to BMS,
SEL-L-19-20,SK,Freeda/Brodie,Freeda/Brodie,53.66974776,-129.7123294,,,,North Coast,North Coast,,,5,Lake,,,400,900,,,,,241.46,603,482.4,420,,2010,2014,,,1.739418537,0.870646766,,,arith not geom total compared to BMS,
SEL-L-19-21,SK,Hartley Bay,Hartley Bay<<VREQ[Bin]>>,53.42715764,-129.2538384,,,,North Coast,North Coast,,,5,Lake,,,800,1700,,,,,692.42,1920.5,1536.4,2290,,2010,2014,,,3.30724127,1.490497266,,,arith not geom total compared to BMS,
SEL-L-20-05,SK,Johnston,Johnston,53.86028083,-129.4855518,,,,North Coast,Skeena,,,,Lake,,,1007,7000,,,,,525,2970,2376,,,,,,,,,,,,
SEL-L-19-24,SK,Kadjusdis River,Kadjusdis River<<VREQ[Bin]>>,52.15237838,-128.0431209,,,,North Coast,North Coast,,,5,Lake,,,800,4000,,,,,1329.22,4872,3897.6,1400,,2010,2014,,,1.053249274,0.359195402,,,arith not geom total compared to BMS,
SEL-L-18-05,SK,Kainet Creek,Kainet Creek,52.75553537,-127.8814783,,,,North Coast,North Coast,,,5,Lake,,,800,3000,,,,,228.18,1439,1151.2,4310,,2010,2014,,,18.88859672,3.743919388,,,arith not geom total compared to BMS,
