Base.Unit.CU.ID,Base.Unit.Species,Base.Unit.CU.ShortName,Base.Unit.CU.FullName,Base.Unit.CU.Lat,Base.Unit.CU.Long,BaseUnit.FAZ,BaseUnit.MAZ,BaseUnit.JAZ,BaseUnit.Drainage,BaseUnit.WatershedGroup,BaseUnit.Watershed,BaseUnit. ManagementTiming,BaseUnit.AvgAge,BaseUnit.LifeHistory,ShortTerm.Trend,LongTerm.Ratio,LT.25p.Quantile,LT.75p.Quantile,Recent.Quantile,Recent.log.quantile,Recent.EFS,Hist.Geom.EFS,Lower.Bench,Smsy,Upper.Bench,Recent.Total,Recent.Geom.Total,Recent.start,Recent.end,Actual.last.year,Benchmark.type,Lower.Ratio,Upper.Ratio,Recent.ER,DataQualIdx,Comments,
SEL-L-07-01,SK,Bowron_ES,Bowron_ES,53.1458,-121.0932,UFR,GStr,UFR+GStr,Fraser,Upper Fraser,Fraser_Upper,Early_Summer,4,Lake,-0.37,0.35,,,0.454545455,0.136363636,854,2442,5047.243199,,18580.24531,4539,1656,,,,Sgen_Smsy,0.328099902,0.089126918,0.264407251,,,
SEL-L-10-01,SK,Kamloops_ES,Kamloops_ES,50.7319,-120.6021,NTh,GStr,NTh+GStr,Fraser,North Thompson,Fraser_Thompson_Lower,Early_Summer,4,Lake,-0.4,1.69,,,0.833333333,0.818181818,4324,2562,4958.276905,,17838.24298,12823,10700,,,,Sgen_Smsy,2.158007752,0.599834861,0.328338646,,,
SEL-L-06-20,SK,Nadina_Francois_ES,Nadina_Francois_ES,54.0253,-125.6902,MFR,GStr,MFR+GStr,Fraser,Nechako,Fraser_Mid,Early_Summer,4,Lake,1.23,1.51,,,0.813953488,0.790697674,7896,5239,21693.77282,,68272.6022,29733,26100,,,,Sgen_Smsy,1.20311023,0.38229098,0.284064586,,,
SEL-L-10-03,SK,North_Barriere_ES,North_Barriere_ES_(de_novo),51.3309,-119.8539,NTh,GStr,NTh+GStr,Fraser,North Thompson,Fraser_Thompson,Early_Summer,4,Lake,-0.52,1.21,,,0.469387755,0.367346939,2132,1764,639.8998622,,5097.027719,4224,2800,,,,Sgen_Smsy,4.375684643,0.549339763,0.389346288,,,
SEL-L-03-05,SK,Pitt_ES,Pitt_ES,49.4282,-122.5414,LFR,GStr,LFR+GStr,Fraser,Lower Fraser,Fraser_Lower,Early_Summer,4,Lake,-0.44,2.34,,,0.848484848,0.848484848,23318,9974,6239.812977,,20333.40732,50870,47700,,,,Sgen_Smsy,7.644459886,2.345893103,0.156828537,,,
SEL-L-05-02,SK,Nahatlatch_ES,Nahatlatch_ES,49.9786,-121.7759,FRCany,GStr,FRCany+GStr,Fraser,Lower Fraser,Fraser_Canyon,Early_Summer,4,Lake,0.16,1,,,0.463414634,0.43902439,1563,1562,,,,2444,2300,,,,,,,,,,
SEL-L-06-16,SK,Taseko_ES,Taseko_ES,51.3354,-123.6154,MFR,GStr,MFR+GStr,Fraser,Chilcotin,Fraser_Mid,Early_Summer,4,Lake,-0.81,0.25,,,0.230769231,0.153846154,106,424,,,,312,186,,,,,,,,,,
SEL-L-03-01,SK,Chilliwack_ES,Chilliwack_ES,49.0791,-121.435,LFR,GStr,LFR+GStr,Fraser,Lower Fraser,Fraser_Lower,Early_Summer,4,Lake,1.02,1.58,,,0.8,0.733333333,6172,3906,8000,,16000,35598,12600,,,,Sgen_Smsy,1.575,0.7875,,,,
SEL-L-06-01,SK,Anderson_Seton_ES,Anderson_Seton_ES,,,MFR,GStr,MFR+GStr,Fraser,Seton-Anderson,Fraser_Mid,Early_Summer,4,Lake,4.3,6.84,,,0.919354839,0.887096774,11239,1644,3662,,22534,21172,18045,,,,Sgen_Smsy,4.927635172,0.800789917,0.276560447,,Spawning channel began 1968,
SEL-L-09-02,SK,Shuswap_ES,Shuswap_ES,,,STh ,GStr,STh+GStr,Fraser,Early South Thompson,Fraser_Thompson,Early_Summer,4,Lake,0.82,1.57,,,0.848484848,0.53030303,16193,10306,36380,,141746,105619,105619,,,,Larkin_2014,2.903216053,0.74512861,0.372576512,,,
