"","SoS_Lookup_CU_ID","MapData_CU_ID","CU_MetricsData_CU_ID","CU_TimeSeriesData_CU_ID","Pop_TimeSeriesData_CU_ID","CU_ID","Species","Species_Full","CU_Name","CU_Acro","Lat","Lon","FAZ","MAZ","JAZ","Area","RunTiming","AvGen","LifeHistory"
"1","CK_03","CK-03","CK-03","CK-03","CK-03","CK-03","Ck","Chinook","Lower Fraser River_FA_0.3","LFR-fall","49.218903","-121.945066","NA","NA","NA","Fraser_Lower","Fall","4","Ocean"
"2","CK_04","CK-04","CK-04","CK-04","CK-04","CK-04","Ck","Chinook","Lower Fraser River_SP_1.3","LFR-spring","49.460826","-122.4924814","NA","NA","NA","Fraser_Lower","Spring","5","Stream"
"3","CK_05","CK-05","CK-05","CK-05","CK-05","CK-05","Ck","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT","49.566286","-122.634339","NA","NA","NA","Fraser_Lower","Summer","5","Stream"
"4","CK_06","CK-06","CK-06","CK-06","CK-06","CK-06","Ck","Chinook","Lower Fraser River_SU_1.3","LFR-summer","49.72016855","-122.157779","NA","NA","NA","Fraser_Lower","Summer","5","Stream"
"5","CK_07","CK-07","CK-07","CK-07","CK-07","CK-07","Ck","Chinook","Maria Slough_SU_0.3","Maria","49.227919","-121.733305","NA","NA","NA","Fraser_Lower","Summer","4","Ocean"
"6","CK_08","CK-08","CK-08","CK-08","CK-08","CK-08","Ck","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon","49.977915","-121.512032","NA","NA","NA","Fraser_Upper","Spring","5","Stream"
"7","CK_09","CK-09","CK-09","CK-09","CK-09","CK-09","Ck","Chinook","Middle Fraser River-Portage_FA_1.3","Portage","50.70803","-122.270059","NA","NA","NA","Fraser_Upper","Fall","5","Stream"
"8","CK_10","CK-10","CK-10","CK-10","CK-10","CK-10","Ck","Chinook","Middle Fraser River_SP_1.3","MFR-spring","52.72549964","-122.6181922","NA","NA","NA","Fraser_Upper","Spring","5","Stream"
"9","CK_11","CK-11","CK-11","CK-11","CK-11","CK-11","Ck","Chinook","Middle Fraser River_SU_1.3","MFR-summer","52.94072095","-123.4585458","NA","NA","NA","Fraser_Upper","Summer","5","Stream"
"10","CK_12","CK-12","CK-12","CK-12","CK-12","CK-12","Ck","Chinook","Upper Fraser River_SP_1.3","UFR-spring","53.67953103","-120.9021509","NA","NA","NA","Fraser_Upper","Spring","5","Stream"
"11","CK_13","CK-13","CK-13","CK-13","CK-13","CK-13","Ck","Chinook","South Thompson_SU_0.3","STh-0.3","50.94251125","-119.4355425","NA","NA","NA","Fraser_Thompson","Summer","4","Ocean"
"12","CK_14","CK-14","CK-14","CK-14","CK-14","CK-14","Ck","Chinook","South Thompson_SU_1.3","STh-1.3","50.8752315","-119.251533","NA","NA","NA","Fraser_Thompson","Summer","5","Stream"
"13","CK_15","CK-15","CK-15","CK-15","CK-15","CK-15","Ck","Chinook","Shuswap River_SU_0.3","STh-SHUR","50.576293","-118.8984295","NA","NA","NA","Fraser_Thompson","Summer","4","Ocean"
"14","CK_16","CK-16","CK-16","CK-16","CK-16","CK-16","Ck","Chinook","South Thompson-Bessette Creek_SU_1.2","STh-BESS","50.25159","-118.935535","NA","NA","NA","Fraser_Thompson","Summer","4","Stream"
"15","CK_17","CK-17","CK-17","CK-17","CK-17","CK-17","Ck","Chinook","Lower Thompson_SP_1.2","LTh","50.336506","-120.9842179","NA","NA","NA","Fraser_Thompson","Spring","4","Stream"
"16","CK_18","CK-18","CK-18","CK-18","CK-18","CK-18","Ck","Chinook","North Thompson_SP_1.3","NTh-spr","51.83759443","-119.6156737","NA","NA","NA","Fraser_Thompson","Spring","5","Stream"
"17","CK_19","CK-19","CK-19","CK-19","CK-19","CK-19","Ck","Chinook","North Thompson_SU_1.3","NTh-sum","51.43836057","-120.0999803","NA","NA","NA","Fraser_Thompson","Summer","5","Stream"
"18","CK_82","CK-82","CK-82","CK-82","CK-82","CK-82","Ck","Chinook","Upper Adams River_SU_x.x","UADAMS","51.411","-119.456","NA","NA","NA","Fraser_Thompson","Summer","5","Ocean"
"19","","CO-04","","","","CO-04","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
