Base.Unit.CU.ID,Base.Unit.CU.ShortName,Year,Metric,Value
SEL-L-06-01,Anderson_Seton_ES,2017,ShortTerm.Trend,4.3
SEL-L-06-03,Chilko_S_ES,2017,ShortTerm.Trend,1.73
SEL-L-06-07,Fran_Fras_S,2017,ShortTerm.Trend,-0.21
SEL-L-03-02,Cultus_L,2017,ShortTerm.Trend,0.03
SEL-L-06-11,Seton-L,2017,ShortTerm.Trend,-0.91
SEL-L-03-04,Harrison_US_L,2017,ShortTerm.Trend,-0.82
SER-R02,Widgeon_RT,2017,ShortTerm.Trend,11.58
SEL-L-04-01,Lillooet_Harr_L,2017,ShortTerm.Trend,-0.72
SEL-L-03-03,Harrison_DS_L,2017,ShortTerm.Trend,-0.75
SEL-L-09-02,Shuswap_ES,2017,ShortTerm.Trend,0.82
SEL-L-06-14,Takla_Trem_Estu,2017,ShortTerm.Trend,-0.46
SEL-L-06-10,Quesnel_S,2017,ShortTerm.Trend,-0.96
SEL-L-06-13,Takla_Trem_S_S,2017,ShortTerm.Trend,-0.63
SEL-L-09-03,Shuswap_L,2017,ShortTerm.Trend,-0.81
SER-R03,Harrison_RT,2017,ShortTerm.Trend,20.07
SEL-L-03-05,Pitt_ES,2012,ShortTerm.Trend,-0.54
SEL-L-06-20,Nadina_Francois_ES,2012,ShortTerm.Trend,-0.44
SEL-L-10-01,Kamloops_ES,2012,ShortTerm.Trend,-0.31
SEL-L-07-01,Bowron_ES,2012,ShortTerm.Trend,-0.88
SEL-L-10-03,North_Barriere_ES,2012,ShortTerm.Trend,-0.68
SEL-L-05-02,Nahatlatch_ES,2012,ShortTerm.Trend,-0.82
SEL-L-06-16,Taseko_ES,2012,ShortTerm.Trend,-0.88
SEL-L-03-01,Chilliwack_ES,2012,ShortTerm.Trend,-0.76
SEL-L-06-01,Anderson_Seton_ES,2012,ShortTerm.Trend,-0.39
SEL-L-06-03,Chilko_S_ES,2012,ShortTerm.Trend,-0.74
SEL-L-06-07,Fran_Fras_S,2012,ShortTerm.Trend,-0.57
SEL-L-03-02,Cultus_L,2012,ShortTerm.Trend,-0.69
SEL-L-06-11,Seton-L,2012,ShortTerm.Trend,-0.67
SEL-L-03-04,Harrison_US_L,2012,ShortTerm.Trend,-0.39
SER-R02,Widgeon_RT,2012,ShortTerm.Trend,7.36
SEL-L-04-01,Lillooet_Harr_L,2012,ShortTerm.Trend,0.03
SEL-L-03-03,Harrison_DS_L,2012,ShortTerm.Trend,1.03
SEL-L-09-02,Shuswap_ES,2012,ShortTerm.Trend,-0.34
SEL-L-06-14,Takla_Trem_Estu,2012,ShortTerm.Trend,-0.58
